,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Genes,group,ordered_group
0,gs_ind_0,Adrenergic signaling in cardiomyocytes,1/1,0.0679611650485437,0.13309061488673143,15.76923076923077,GNAS_ADCY1,1,1
1,gs_ind_0,Aldosterone synthesis and secretion,1/1,0.0679611650485437,0.13309061488673143,15.76923076923077,GNAS_ADCY1,1,1
2,gs_ind_0,Amoebiasis,1/1,0.0679611650485437,0.13309061488673143,15.76923076923077,GNAS_ADCY1,1,1
3,gs_ind_0,Bile secretion,1/1,0.0679611650485437,0.13309061488673143,15.76923076923077,GNAS_ADCY1,1,1
4,gs_ind_0,Calcium signaling pathway,1/1,0.0679611650485437,0.13309061488673143,15.76923076923077,GNAS_ADCY1,1,1
5,gs_ind_0,Chagas disease,1/1,0.0679611650485437,0.13309061488673143,15.76923076923077,GNAS_ADCY1,1,1
6,gs_ind_0,Chagas disease (American trypanosomiasis),1/1,0.0679611650485437,0.13309061488673143,15.76923076923077,GNAS_ADCY1,1,1
7,gs_ind_0,Circadian entrainment,2/3,0.01159733334841194,0.13309061488673143,13.051948051948052,ADCYAP1_ADCYAP1R1;GNAS_ADCY1,1,1
8,gs_ind_0,Cortisol synthesis and secretion,1/1,0.0679611650485437,0.13309061488673143,15.76923076923077,GNAS_ADCY1,1,1
9,gs_ind_0,Cushing syndrome,1/3,0.19208825508478894,0.22019873143866048,6.626373626373627,GNAS_ADCY1,1,1
10,gs_ind_0,Dilated cardiomyopathy (DCM),1/1,0.0679611650485437,0.13309061488673143,15.76923076923077,GNAS_ADCY1,1,1
11,gs_ind_0,Endocrine resistance,1/2,0.13192461450599657,0.1675799157238335,9.36923076923077,GNAS_ADCY1,1,1
12,gs_ind_0,Estrogen signaling pathway,1/1,0.0679611650485437,0.13309061488673143,15.76923076923077,GNAS_ADCY1,1,1
13,gs_ind_0,Gap junction,1/2,0.13192461450599657,0.1675799157238335,9.36923076923077,GNAS_ADCY1,1,1
14,gs_ind_0,Gastric acid secretion,1/3,0.19208825508478894,0.22019873143866048,6.626373626373627,GNAS_ADCY1,1,1
15,gs_ind_0,Glutamatergic synapse,1/2,0.13192461450599657,0.1675799157238335,9.36923076923077,GNAS_ADCY1,1,1
16,gs_ind_0,GnRH signaling pathway,1/1,0.0679611650485437,0.13309061488673143,15.76923076923077,GNAS_ADCY1,1,1
17,gs_ind_0,"Growth hormone synthesis, secretion and action",1/3,0.19208825508478894,0.22019873143866048,6.626373626373627,GNAS_ADCY1,1,1
18,gs_ind_0,Human cytomegalovirus infection,1/2,0.13192461450599657,0.1675799157238335,9.36923076923077,GNAS_ADCY1,1,1
19,gs_ind_0,Inflammatory mediator regulation of TRP channels,1/1,0.0679611650485437,0.13309061488673143,15.76923076923077,GNAS_ADCY1,1,1
20,gs_ind_0,Insulin secretion,2/2,0.003997715591090805,0.09394631639063393,18.454545454545453,ADCYAP1_ADCYAP1R1;GNAS_ADCY1,1,1
21,gs_ind_0,MAPK signaling pathway,2/19,0.3816077922542756,0.3985681385766878,1.9696969696969697,FGF9_FGFR3;FGF7_FGFR3,1,1
