,ligand,receptor,spc
SEMA3F_PLXNA3,SEMA3F,PLXNA3,0.9663536776212832
SEMA3F_PLXNA1,SEMA3F,PLXNA1,0.9545893719806764
SEMA3F_NRP2,SEMA3F,NRP2,1.0
DCN_MET,DCN,MET,0.8350236646382692
GRN_TNFRSF1A,GRN,TNFRSF1A,0.06898477866219802
GRN_SORT1,GRN,SORT1,0.9405940594059408
GRN_TNFRSF1B,GRN,TNFRSF1B,1.0
ICAM3_ITGB2,ICAM3,ITGB2,0.8637118629250808
EFNB1_EPHB6,EFNB1,EPHB6,0.0021478260869565217
EFNB1_EPHB4,EFNB1,EPHB4,0.6610906657745066
EFNB1_ERBB2,EFNB1,ERBB2,0.47623638291718884
EFNB1_EPHB3,EFNB1,EPHB3,1.0
SEMA4G_PLXNB2,SEMA4G,PLXNB2,0.9545893719806764
VCL_ITGB5,VCL,ITGB5,0.2893626991565136
EFNA2_EPHA2,EFNA2,EPHA2,0.11503353204172875
LGALS1_ITGB1,LGALS1,ITGB1,0.11648745519713262
TIMP1_CD63,TIMP1,CD63,0.0021478260869565217
MMP2_PECAM1,MMP2,PECAM1,0.016083720930232557
MMP2_FGFR1,MMP2,FGFR1,0.0035285714285714287
PLAT_LRP1,PLAT,LRP1,0.039341233435270136
PLAT_ITGB2,PLAT,ITGB2,1.0
TGFB1_ENG,TGFB1,ENG,0.022104985255885338
TGFB1_SMAD3,TGFB1,SMAD3,0.1665964083972684
TGFB1_ACVRL1,TGFB1,ACVRL1,0.16075496257728605
TGFB1_ITGB6,TGFB1,ITGB6,0.9663536776212832
TGFB1_ITGAV,TGFB1,ITGAV,0.24060003896356907
TGFB1_ITGB1,TGFB1,ITGB1,0.26807760141093473
TGFB1_CXCR4,TGFB1,CXCR4,0.15700483091787437
TGFB1_ITGB5,TGFB1,ITGB5,0.2811290689733667
COMP_ITGB1,COMP,ITGB1,0.5139409071993342
LAMB1_ITGA7,LAMB1,ITGA7,0.6375838926174496
LAMB1_ITGAV,LAMB1,ITGAV,0.039341233435270136
LAMB1_ITGB1,LAMB1,ITGB1,0.25832091405861896
LAMB1_ITGA6,LAMB1,ITGA6,0.0823292168724897
LAMB1_ITGA1,LAMB1,ITGA1,0.12195724090258232
LAMB1_ITGA2,LAMB1,ITGA2,0.9663536776212832
PDAP1_PDGFRB,PDAP1,PDGFRB,0.3564213564213564
SERPINE1_PLAUR,SERPINE1,PLAUR,0.021603325337770613
SERPINE1_ITGAV,SERPINE1,ITGAV,0.845890410958904
SERPINE1_LRP1,SERPINE1,LRP1,0.5703070884322328
SERPINE1_ITGB5,SERPINE1,ITGB5,0.7647058823529412
COL1A1_ITGA5,COL1A1,ITGA5,0.7180232558139534
COL1A1_CD93,COL1A1,CD93,0.07137851564475461
COL1A1_ITGA1,COL1A1,ITGA1,0.18241571581551644
COL1A1_CD44,COL1A1,CD44,0.49161566402945706
COL1A1_ITGAV,COL1A1,ITGAV,0.2527112748107223
COL1A1_ITGB1,COL1A1,ITGB1,0.6202134337727557
COL1A1_ITGA11,COL1A1,ITGA11,0.44265232974910396
COL1A1_ITGA2,COL1A1,ITGA2,0.6202134337727557
COL1A1_DDR1,COL1A1,DDR1,0.04966421361643946
LAMA4_ITGA6,LAMA4,ITGA6,0.9117755629383536
LAMA4_ITGAV,LAMA4,ITGAV,0.9663536776212832
LAMA4_ITGB1,LAMA4,ITGB1,1.0
HBEGF_CD44,HBEGF,CD44,0.9920674766542825
HBEGF_CD9,HBEGF,CD9,0.845890410958904
HBEGF_ERBB2,HBEGF,ERBB2,1.0
LTF_LRP1,LTF,LRP1,0.06622605338302522
LTF_TFRC,LTF,TFRC,1.0
CD160_TNFRSF14,CD160,TNFRSF14,0.6543046357615895
FGF23_FGFR4,FGF23,FGFR4,0.845890410958904
FGF23_FGFR1,FGF23,FGFR1,0.7260435038212816
FGF23_FGFR3,FGF23,FGFR3,0.8637118629250808
TGFB3_ENG,TGFB3,ENG,0.027818448023426062
TGFB3_ITGB1,TGFB3,ITGB1,0.09679631625355148
TGFB3_ACVRL1,TGFB3,ACVRL1,0.5507246376811594
TGFB3_ITGB6,TGFB3,ITGB6,0.24779293739967898
TGFB3_ITGB5,TGFB3,ITGB5,0.18834833002897666
TNFSF10_RIPK1,TNFSF10,RIPK1,0.4308390022675737
TNFSF10_TNFRSF10B,TNFSF10,TNFRSF10B,0.6803002134545204
INHBA_ENG,INHBA,ENG,0.46511627906976744
INHBA_SMAD3,INHBA,SMAD3,1.0
C3_CD46,C3,CD46,1.0
C3_ITGAX,C3,ITGAX,0.9117755629383536
C3_ADRA2A,C3,ADRA2A,0.9117755629383536
C3_ITGB2,C3,ITGB2,0.5342850962578413
C3_CD81,C3,CD81,0.1288269962968758
LIF_IL6ST,LIF,IL6ST,0.34671532846715325
APOE_LDLR,APOE,LDLR,0.07290436835891381
